Card1;Card2;Rule
gatekeeper;swap;If you gain a card and put it in your hand using Swap while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;transmogrify;If you gain a card and put it in your hand using Transmogrify while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
gatekeeper;villa;If you return to your Action phase using Villa, you get to choose whether you first resolve Villa or Gatekeeper.
gatekeeper;wish;If you gain a card and put it in your hand using Wish while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
ghost;patron;If you reveal a Patron by playing Ghost, you will not get +1 Coffers since that happens during a Night (and not Action) phase.
ghost_town;graverobber;If you gain a Ghost Town using Graverobber, it is topdecked instead of being gained to your hand.
ghost_town;insignia;If you gain a Ghost Town, you can decide whether to topdeck it using Insignia, or gain it to your hand.
ghost_town;invasion;If you gain a Ghost Town using Invasion, it is topdecked instead of being gained to your hand.
ghost_town;progress;If you gain a Ghost Town using Progress, it is topdecked instead of being gained to your hand.
ghost_town;royal_seal;If you gain a Ghost Town, you can decide whether to topdeck it using Royal Seal, or gain it to your hand.
ghost_town;sleigh;If you gain a Ghost Town, you can decide whether to topdeck it using Sleigh, or gain it to your hand.
ghost_town;tiara;If you gain a Ghost Town, you can decide whether to topdeck it using Tiara, or gain it to your hand.
ghost_town;tracker;If you gain a Ghost Town, you can decide whether to topdeck it using Tracker, or gain it to your hand.
ghost_town;trappers_lodge;If you gain a Ghost Town, you can decide whether to topdeck it using Trapper's Lodge, or gain it to your hand.
ghost_town;travelling_fair;If you gain a Ghost Town, you can decide whether to topdeck it using Travelling Fair, or gain it to your hand.
ghost_town;watchtower;If you gain a Ghost Town, you can decide whether to topdeck it using Watchtower, or gain it to your hand.
ghost_town;way_of_the_seal;If you gain a Ghost Town, you can decide whether to topdeck it using Way of the Seal, or gain it to your hand.
gladiator/fortune;populate;Buying Populate will gain the top card of the Gladiator/Fortune pile, even if it's not an Action card.
gladiator;market_square;If a Gladiator is trashed from the supply, since it is none of your cards, you cannot react Market Square to gain a Gold.
gondola;guildmaster;When you gain a Gondola and play a Guildmaster from your hand, you will receive a Favor due to the Gondola gain.
gondola;haggler;When you buy and gain a Gondola and play a Haggler from your hand, you will gain a card costing less than the Gondola.
gondola;kiln;When you gain a Gondola and play a Kiln from your hand, you will not be able to gain another Gondola due to Kiln's 'Next Time' wording. Instead, the next card you play will be subject to its effect.
gondola;livery;When you gain a Gondola and play a Livery from your hand, you will gain a Horse due to the Gondola gain.
gondola;mandarin;If you gain a Mandarin and have played Gondola before that, you put it on top of your deck, but the duration effect still persists.
gondola;search;When you gain the last Gondola and play a Search from your hand, you will not gain a Loot from the Gondola gain due to Search's 'Next Time' wording. [This used to be bugged in the TGG client, let us know if it's resolved!]
gondola;secluded_shrine;When you gain a Gondola and play a Secluded Shrine from your hand via its on-gain ability, you may not immediately trash two cards from your hand due Secluded Shrine's 'Next Time' wording.
grand_castle;inheritance;When you gain Grand Castle, you get points for opponent's Estates if they are in play because they inherited a Duration.
grand_castle;patron;If you gain a Grand Castle during your Buy phase and reveal a Patron from your hand, you will not get +1 Coffers since it's not an Action phase.
grand_castle;stronghold;When you gain Grand Castle, you get points for opponent's Strongholds because they are in play.
graverobber;guardian;If you gain a Guardian using Graverobber, it is topdecked instead of being gained to your hand.
graverobber;innovation;When you gain a card using Graverobber and immediately play it using Innovation, you will not be able to topdeck it.
graverobber;necromancer;If you use a Necromancer to play a card from the trash (turning it face down), then gain it with Graverobber, then trash it again, you may play it again with a subsequent Necromancer as it will be turned face up again.
graverobber;night_watchman;If you gain a Night Watchman using Graverobber, it is topdecked instead of being gained to your hand.
graverobber;rush;When you gain a card using Graverobber and immediately play it using Rush, you will not be able to topdeck it.
graverobber;siren;If you gain a Siren and topdeck it using Graverobber, you still need to trash an Action card from your hand in order to not trash the Siren.
graverobber;villa;If you gain a Villa using Graverobber, it is topdecked and then you put it into your hand hand.
guard_dog;way_of_the_butterfly;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Butterfly.
guard_dog;way_of_the_camel;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Camel.
guard_dog;way_of_the_chameleon;"When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
If you play Guard Dog using Way of the Chameleon, getting +$ instead of drawing cards, Guard Dog's condition will still be checked afterwards."
guard_dog;way_of_the_frog;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
guard_dog;way_of_the_goat;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Goat.
guard_dog;way_of_the_horse;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
guard_dog;way_of_the_mole;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
guard_dog;way_of_the_monkey;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
guard_dog;way_of_the_mouse;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
guard_dog;way_of_the_mule;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
guard_dog;way_of_the_otter;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Otter.
guard_dog;way_of_the_owl;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Owl.
guard_dog;way_of_the_ox;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
guard_dog;way_of_the_pig;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
guard_dog;way_of_the_rat;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Rat.
guard_dog;way_of_the_seal;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
guard_dog;way_of_the_sheep;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
guard_dog;way_of_the_squirrel;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Squirrel.
guard_dog;way_of_the_turtle;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Turtle.
guard_dog;way_of_the_worm;When you react and play Guard Dog during another player's turn, you can decide to play it as Way of the Worm.
guardian;insignia;If you gain a Guardian, you can decide whether to topdeck it using Insignia, or gain it to your hand.
guardian;invasion;If you gain a Guardian using Invasion, it is topdecked instead of being gained to your hand.
guardian;progress;If you gain a Guardian using Progress, it is topdecked instead of being gained to your hand.
guardian;royal_seal;If you gain a Guardian, you can decide whether to topdeck it using Royal Seal, or gain it to your hand.
guardian;sleigh;If you gain a Guardian, you can decide whether to topdeck it using Sleigh, or gain it to your hand.
guardian;tiara;If you gain a Guardian, you can decide whether to topdeck it using Tiara, or gain it to your hand.
guardian;tracker;If you gain a Guardian, you can decide whether to topdeck it using Tracker, or gain it to your hand.
guardian;trappers_lodge;If you gain a Guardian, you can decide whether to topdeck it using Trapper's Lodge, or gain it to your hand.
guardian;travelling_fair;If you gain a Guardian, you can decide whether to topdeck it using Travelling Fair, or gain it to your hand.
guardian;watchtower;If you gain a Guardian, you can decide whether to topdeck it using Watchtower, or gain it to your hand.
guardian;way_of_the_seal;If you gain a Guardian, you can decide whether to topdeck it using Way of the Seal, or gain it to your hand.
guildmaster;innovation;When you gain a Guildmaster and play it immediately using Innovation, you receive a Favor from its gain.
guildmaster;rush;When you gain a Guildmaster and play it immediately using Rush, you receive a Favor from its gain.
guildmaster;spell_scroll;When you gain a Guildmaster and play it immediately using Spell Scroll, you receive a Favor from its gain.
haggler;innovation;When you buy and gain a Haggler and play it immediately using Innovation, you will gain a card costing less than it.
haggler;rush;When you buy and gain a Haggler and play it immediately using Rush, you will gain a card costing less than it.
haggler;spell_scroll;When you buy and gain a Haggler and play it immediately using Spell Scroll, you will gain a card costing less than it.
hammer;panic;When you discard Hammer from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
harbor_village;league_of_shopkeepers;Even if an Action-Liaison (that normally doesn't give +$) you play after a Harbor Village yields +$1 through League of Shopkeepers, you don't get +$1 from Harbor village.
harbor_village;teacher;If you have put the +Coin token on a card (that normally doesn't give +$) and play it after a Harbor Village, you don't get +$1 from Harbor Village.
harbor_village;training;If you have put the +Coin token on a card (that normally doesn't give +$) and play it after a Harbor Village, you don't get +$1 from Harbor Village.
harbor_village;way_of_the_chameleon;If you play a card as Way of the Chameleon and get +$ because of that, you will get +$1 from Harbor Village.
harbor_village;way_of_the_mouse;If you play a card as Way of the Mouse and get +$ because of that, you will get never get +$1 from Harbor Village as Way of the Mouse plays another card.
hasty;siren;If you gain a Siren and set it aside using Hasty, since it's set aside after being gained, it will stay there even if you fail to trash an Action.
hasty;territory;If the Clashes pile is Hasty and you gain a Territory, you set it aside and play it at the start of your next turn (doing nothing, but counting as a card in play). At the end of that turn, you discard it from play.
hermit;launch;When you return to your Action phase using Launch, you are ending your Buy phase, so Hermit can trigger.
hermit;villa;When you return to your Action phase using Villa, you are ending your Buy phase but gain a card at the same time, so Hermit can't trigger. Hermit can still trigger at the end of a future buy phase.
highwayman;inspiring;If you play an Inspiring Treasure as your first Treasure while under the Highwayman attack, you can still play a unique Action card with it.
highwayman;reckless;"If you play a Reckless Treasure while under the Highwayman attack as the first Treasure, it does nothing at all, but is returned to its pile when discarded from play.
If Highwayman is Reckless, it is returned to its pile at the start of the next turn (and then you get +6 Cards)."
hill_fort;innovation;If you gain a card and use Hill Fort to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
hill_fort;rush;If you gain a card and use Hill Fort to cause a shuffle, you cannot play it using Rush anymore (but you could choose to resolve the on-gain play first).
hill_fort;sheepdog;If you gain a Sheepdog to your hand using Hill Fort, you can immediately react to its own gain and play it.
hill_fort;siren;"If you gain a Siren and somehow trigger a shuffle by drawing a card using Hill Fort, you still may trash an Action card from you hand, but the Siren will fail to trash itself and it will stay in your deck.
If you gain a Siren and put it in your hand using Hill Fort, you still need to trash an Action from your hand in order to not trash the Siren."
hill_fort;spell_scroll;If you gain a card and use Hill Fort to cause a shuffle, you cannot play it using Spell Scroll anymore (but you could choose to resolve the on-gain play first).
hireling;mastermind;If you play Hireling at the start of your turn using Mastermind, you will draw three cards immediately.
hireling;piazza;If you play Hireling at the start of your turn using Piazza, you will draw a card immediately.
horse;procession;When you play a Horse with Procession, you return it to its pile after its first play, so it doesn't get trashed. Nevertheless, you gain a card costing $1 more than it.
improve;innovation;You can play cards you gain via an Improve trash using Innovation during your Clean-up phase. This might lead to weird effects such as Encampment immediately returning to its pile, and Crown being useless.
improve;trail;Trashing a Trail with Improve's ability will not trigger Trail's on-trash effect because the trashing occurs during Clean-up.
infirmary;innovation;When you overpay for Infirmary, you choose between the effect of the overpay and Innovation triggering. If you choose Innovation, Infirmary's overpay will be unable to play itself any number of times (because Infirmary already moved). Innovation will also be unable to play Infirmary if you choose the overpay first, for the same reason.
infirmary;rush;When you overpay for Infirmary, you choose between the effect of the overpay and Rush triggering. If you choose Rush, Infirmary's overpay will be unable to play itself any number of times (because Infirmary already moved). Rush will also be unable to play Infirmary if you choose the overpay first, for the same reason.
inheritance;warlord;If you have inherited a card (e.g. Battle Plan) and are under Warlord attack, you may both play two copies of said card and two Estates during your turn.
inn;patron;If you gain an Inn during your Buy phase and reveal a Patron from your discard, you will not get +1 Coffers since it's not an Action phase.
innovation;invasion;When you gain a card using Invasion and immediately play it using Innovation, you will not be able to topdeck it.
innovation;kiln;When you gain a Kiln and play it immediately using Innovation, you will not be able to gain another Kiln due to its 'Next Time' wording. Instead, the next card you play will be subject to its effect.
innovation;livery;When you gain a Livery and play it immediately using Innovation, you gain a Horse from its gain.
innovation;search;When you gain the last Search and play it immediately using Innovation, it will not be trashed and you will not gain a Loot due to its 'Next Time' wording. [This used to be bugged in the TGG client, let us know if it's resolved!]
innovation;sheepdog;If you gain a card and use Sheepdog to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
innovation;siren;If you gain a Siren and use Innovation to play the Siren, Siren no longer requires you to trash an action card from your hand in order to not trash the Siren.
innovation;skirmisher;When you gain a Skirmisher and play it immediately using Innovation, its effect will trigger, causing your opponents to discard.
innovation;trail;If you gain a card and use Trail to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
insignia;night_watchman;If you gain a Night Watchman, you can decide whether to topdeck it using Insignia, or gain it to your hand.
insignia;panic;When you discard Insignia from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
insignia;siren;If you gain a Siren and topdeck it using Insignia, you don't need to trash an Action card in order for it to stay in your deck.
insignia;villa;If you gain a Villa, you can decide whether to topdeck it using Insignia, or gain it to your hand. In any case, you will receive +1 Action and return to you Action phase if you're in your buy phase.
invasion;night_watchman;If you gain a Night Watchman using Invasion, it is topdecked instead of being gained to your hand.
invasion;ninja;When buying Invasion, you may play a Ninja from your deck as the Attack.
invasion;rush;When you gain a card using Invasion and immediately play it using Rush, you will not be able to topdeck it.
invasion;siren;If you gain a Siren and topdeck it using Invasion, you still need to trash an Action card from your hand in order to not trash the Siren.
invasion;villa;If you gain a Villa using Invasion, it is topdecked and then you put it into your hand hand.
investment;patron;If you play Investment during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
jewels;mandarin;If you gain a Mandarin and have played Jewels before that, you put it on top of your deck, but the duration effect still persists.
jewels;panic;Since you never discard Jewels from play after playing it (bar e.g. Highwayman), you never return it for Panic.
journey;walled_village;If you have no more than one other Action than the Walled Village in play, you can topdeck it for the Journey turn.
kiln;rush;When you gain a Kiln and play it immediately using Rush, you will not be able to gain another Kiln due to its 'Next Time' wording. Instead, the next card you play will be subject to its effect.
kiln;spell_scroll;When you gain a Kiln and play it immediately using Spell Scroll, you will not be able to gain another Kiln due to its 'Next Time' wording. Instead, the next card you play will be subject to its effect.
kind_emperor;sheepdog;If you gain a Sheepdog to your hand using Kind Emperor, you can immediately react to its own gain and play it.
kind_emperor;siren;If you gain a Siren and put it in your hand using Kind Emperor, you still need to trash an Action from your hand in order to not trash the Siren.
knights;populate;Buying Populate will gain the top card of the knights pile.
launch;merchant_guild;When you return to your Action phase using Launch, you are ending your Buy phase, so Merchant Guild can trigger.
launch;pageant;When you return to your Action phase using Launch, you are ending your Buy phase, so Pageant can trigger.
launch;river_shrine;You can only gain cards via River Shrine if you didn't gain any cards in any buy phase during your turn. Therefore, you .can only do so if you didn't gain any cards both in the Launch- and after-Launch buy phase.
launch;treasury;When you return to your Action phase using Launch, you are ending your Buy phase, so Treasury can trigger.
launch;wine_merchant;When you return to your Action phase using Launch, you are ending your Buy phase, so Wine Merchant can trigger.
leprechaun;market_towns;At the start of your Buy phase, you may choose the order of returning Envious or Deluded, and playing Actions with Market Towns. If you play a Leprechaun at the start of your Buy phase and receive Envious or Deluded, you return it that same turn.
leprechaun;mining_road;When you play Leprechaun after having played Mining Road, you can choose to play the gained Gold before the seven-card condition is checked. This can be used to your advantage, or come as a nasty surprise.
leprechaun;sheepdog;When you play Leprechaun as your seventh card in play, you might get a nasty surprise if you react any Sheepdogs for the Gold gain. On the other hand, reacting Sheepdogs might help you reach the seventh card in play necessary for the wish gain.
lich;necromancer;If you use a Necromancer to play a card from the trash (turning it face down), then gain it with Lich, then trash it again, you may play it again with a subsequent Necromancer as it will be turned face up again.
livery;rush;When you gain a Livery and play it immediately using Rush, you gain a Horse from its gain.
livery;spell_scroll;When you gain a Livery and play it immediately using Spell Scroll, you gain a Horse from its gain.
loan;patron;If you play Loan during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
lurker;market_square;If Lurker trashes a card from the supply, since it is none of your cards, you cannot react Market Square to gain a Gold.
lurker;necromancer;If you use a Necromancer to play a card from the trash (turning it face down), then gain it with Lurker, then trash it again, you may play it again with a subsequent Necromancer as it will be turned face up again.
mandarin;rope;If you gain a Mandarin and have played Rope before that, you put it on top of your deck, but the duration effect still persists.
mapmaker;way_of_the_butterfly;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Butterfly.
mapmaker;way_of_the_camel;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Camel.
mapmaker;way_of_the_chameleon;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
mapmaker;way_of_the_frog;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
mapmaker;way_of_the_goat;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Goat.
mapmaker;way_of_the_horse;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
mapmaker;way_of_the_mole;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
mapmaker;way_of_the_monkey;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
mapmaker;way_of_the_mouse;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
mapmaker;way_of_the_mule;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
mapmaker;way_of_the_otter;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Otter.
mapmaker;way_of_the_owl;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Owl.
mapmaker;way_of_the_ox;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
mapmaker;way_of_the_pig;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
mapmaker;way_of_the_rat;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Rat.
mapmaker;way_of_the_seal;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
mapmaker;way_of_the_sheep;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
mapmaker;way_of_the_squirrel;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Squirrel.
mapmaker;way_of_the_turtle;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Turtle.
mapmaker;way_of_the_worm;When you react and play Mapmaker during another player's turn, you can decide to play it as Way of the Worm.
market_square;overgrown_estate;When trashing a Overgrown Estate with Market Square in hand, you get to decide which effect to resolve first, and can even react a Market Square you have just drawn from the on-trash draw ability of Overgrown Estate.
market_square;rats;When trashing a Rats with Market Square in hand, you get to decide which effect to resolve first, and can even react a Market Square you have just drawn from the on-trash draw ability of Rats.
market_square;trail;When trashing a Trail with Market Square in hand, you get to decide which effect to resolve first, and can even react a Market Square you have just drawn from the on-trash draw ability of Trail.
marquis;way_of_the_chameleon;If you play Marquis using Way of the Chameleon, getting +$ instead of drawing cards, Marquis's condition will still be checked afterwards.
mastermind;samurai;If you play Samurai at the start of your turn using Mastermind, you will get +$3 immediately.
merchant_guild;villa;When you return to your Action phase using Villa, you are ending your Buy phase, so Merchant Guild can trigger.
merchant_ship;way_of_the_chameleon;If you play Merchant Ship using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Merchant Ship.
mining_village;prince;If you Prince a Mining Village and choose the option to trash itself, you fail to do so and don't get +$2, and the Mining Village stays set aside.
moat;soothsayer;If an opponent plays Soothsayer and you gain a Curse and draw a Moat, it is too late for you to use that Moat to defend against the Soothsayer.
mountain_shrine;sewers;If you trash an Action card using Sewers in reaction to Mountain Shrine's trashing, said Action will be considered by Mountain Shrine's check for Actions, and you will draw 2 cards even if that's the only Action in the trash.'
necromancer;rogue;If you use a Necromancer to play a card from the trash (turning it face down), then gain it with Rogue, then trash it again, you may play it again with a subsequent Necromancer as it will be turned face up again.
necropolis;way_of_the_butterfly;Since Necropolis doesn't have a pile, it will always fail to return when played using Way of the Butterfly.
necropolis;way_of_the_horse;Since Necropolis doesn't have a pile, it will always fail to return when played using Way of the Horse, remaining in deck after providing +2 Cards and +1 Action.
night_watchman;progress;If you gain a Night Watchman using Progress, it is topdecked instead of being gained to your hand.
night_watchman;royal_seal;If you gain a Night Watchman, you can decide whether to topdeck it using Royal Seal, or gain it to your hand.
night_watchman;sleigh;If you gain a Night Watchman, you can decide whether to topdeck it using Sleigh, or gain it to your hand.
night_watchman;tiara;If you gain a Night Watchman, you can decide whether to topdeck it using Tiara, or gain it to your hand.
night_watchman;tracker;If you gain a Night Watchman, you can decide whether to topdeck it using Tracker, or gain it to your hand.
night_watchman;trappers_lodge;If you gain a Night Watchman, you can decide whether to topdeck it using Trapper's Lodge, or gain it to your hand.
night_watchman;travelling_fair;If you gain a Night Watchman, you can decide whether to topdeck it using Travelling Fair, or gain it to your hand.
night_watchman;watchtower;If you gain a Night Watchman, you can decide whether to topdeck it using Watchtower, or gain it to your hand.
night_watchman;way_of_the_seal;If you gain a Night Watchman, you can decide whether to topdeck it using Way of the Seal, or gain it to your hand.
orb;panic;When you discard Orb from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
pageant;villa;When you return to your Action phase using Villa, you are ending your Buy phase, so Pageant can trigger.
panic;prize_goat;When you discard Prize Goat from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;puzzle_box;When you discard Puzzle Box from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;sextant;When you discard Sextant from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;shield;When you discard Shield from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;spell_scroll;When you discard Spell Scroll from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;staff;When you discard Staff from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;sword;When you discard Sword from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
panic;tireless;When Tireless is on a Treasure and Panic is active, when discarding it from play you may decide whether to set it aside or return it to its pile. [This used to be bugged in the TGG client, let us know if it's resolved!]
patient;territory;If the Clashes pile is Patient, you can set aside Territories and play them at the start of your next turn (doing nothing, but counting as a card in play). At the end of that turn, you discard them from play.
patron;pursue;If you buy Pursue during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
patron;raider;If you reveal your hand due to an opponent's Raider being played, and you reveal a Patron, you will not get +1 Coffers since that happens during a Night (and not Action) phase.
patron;venture;If you play Venture during your Buy phase and reveal a Patron this way, you will not get +1 Coffers since it's not an Action phase.
patron;war;If you reveal a Patron due to War, you will get +1 Coffers as long as it's during an Action phase.
peaceful_cult;sycophant;You cannot immediately use the Favors from trashing Sycophant with Peaceful Cult (as the latter doesn't say 'Repeat as desired').
piazza;samurai;If you play Samurai at the start of your turn using Piazza, you will get +$1 immediately.
pirate;way_of_the_butterfly;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Butterfly.
pirate;way_of_the_camel;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Camel.
pirate;way_of_the_chameleon;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
pirate;way_of_the_frog;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
pirate;way_of_the_goat;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Goat.
pirate;way_of_the_horse;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
pirate;way_of_the_mole;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
pirate;way_of_the_monkey;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
pirate;way_of_the_mouse;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
pirate;way_of_the_mule;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
pirate;way_of_the_otter;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Otter.
pirate;way_of_the_owl;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Owl.
pirate;way_of_the_ox;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
pirate;way_of_the_pig;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
pirate;way_of_the_rat;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Rat.
pirate;way_of_the_seal;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
pirate;way_of_the_sheep;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
pirate;way_of_the_squirrel;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Squirrel.
pirate;way_of_the_turtle;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Turtle.
pirate;way_of_the_worm;When you react and play Pirate during another player's turn, you can decide to play it as Way of the Worm.
poor_house;way_of_the_chameleon;If you play a Poor House as Way of the Chameleon, you will draw 4 cards, and then after drawing lose $1 for each card you have in your hand, without going below $0.
populate;ruins;Buying Populate will gain the Ruins card currently on top since they are an Action Supply pile.
priest;sewers;If you trash a card with Sewers in reaction to Priest's trash, Sewers does not give you the extra $2 from Priest's ability. This is because Sewers triggers after Priest's 'Trash a card from your hand' which is before 'For the rest of this turn, when you trash a card, + $2.'
prince;raze;If you Prince a Raze and choose the option to trash itself, you fail to do so and don't get to look at any other cards, and the Raze stays set aside.
prince;way_of_the_butterfly;If you play the Princed Action using Way of the Butterfly, it fails to return to its pile, and nothing will happen.
prince;way_of_the_horse;If you play the Princed Action using Way of the Horse, it stays set aside.
progress;siren;If you gain a Siren and topdeck it using Progress, you don't need to trash an Action card in order for the Siren to stay in your deck.
progress;villa;If you gain a Villa using Progress, it is topdecked and then you put it into your hand hand.
quartermaster;rapid_expansion;Once Rapid Expansion (RE) is triggered, any Actions or Treasures gained by Quartermaster will be set aside by RE and thus not put onto Quartermaster.
quartermaster;siren;If you gain a Siren and set it aside using Quartermaster, you still need to trash an Action from your hand in order to not trash the Siren.
rapid_expansion;siren;If you gain a Siren and set it aside using Rapid Expansion, since it's set aside after being gained, it will stay there even if you fail to trash an Action.
reckless;scheme;If Reckless is on an Action card and you play a Scheme, topdecking the Reckless card circumvents Reckless' return-to-pile prompt.
reckless;trickster;If Reckless is on a Treasure and you played a Trickster on a turn you play said Treasure, you may set it aside, in which case you cannot return it to its pile, and will put it into your next hand instead.
reckless;way_of_the_butterfly;If you play a Reckless Action card using Way of the Butterfly, you will only play it as Way of the Butterfly once and then fail to follow its instructions the second time.
reckless;way_of_the_camel;If you play a Reckless Action card using Way of the Camel, you will only play it as Way of the Camel once and then fail to follow its instructions the second time, but you still have to return it when discarding it from play.
reckless;way_of_the_chameleon;If you play a Reckless Action card using Way of the Chameleon, you follow its cards vs. $$ switched-around instructions twice, you do not get to choose in between..
